Code INSEE,code_region,code_departement,Département,siren_epci,EPCI,Logements,Établissements,Locaux raccordables 4eme trimestre 2017,Locaux raccordables 1er trimestre 2018,Locaux raccordables 2eme trimestre 2018,Locaux raccordables 4eme trimestre 2018,Locaux raccordables 3eme trimestre 2018,Locaux raccordables 1er trimestre 2019,Locaux raccordables 2eme trimestre 2019,Locaux raccordables 3eme trimestre 2019,Locaux raccordables 4eme trimestre 2019,Locaux raccordables 1er trimestre 2020,Locaux raccordables 2eme trimestre 2020,Locaux raccordables 3eme trimestre 2020,Locaux raccordables 4eme trimestre 2020,Locaux raccordables 1er trimestre 2021,Locaux raccordables 2eme trimestre 2021,Locaux raccordables 3eme trimestre 2021,Locaux raccordables 4eme trimestre 2021,Région,deploiement,Locaux raccordables 1er trimestre 2022,commune,Commune,EPCI AMII,Nombre locaux IPE T2 2022 (somme tous OI),Source retenue T2 2022 ,Meilleure estimation des locaux T2 2022 ,Zones très denses,Engagements L. 33-13 et AMEL,Intentions privées hors engagement L. 33-13,Commune rurale,OI T2 2022,Locaux raccordables 2eme trimestre 2022
49306,52,49,Maine-et-Loire,244900015,CU Angers Loire Métropole,679,43,0,0,0,0,0,0,0,472,472,487,503,522,545,546,696,696,789,Pays de la Loire,,825,Saint-Martin-du-Fouilloux,Saint-Martin-du-Fouilloux,Oui,957,IPE T2 2022 (un IPE),957,0,,0,1,FRTE,825
49321,52,49,Maine-et-Loire,200071868,CC des Vallées du Haut-Anjou,175,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pays de la Loire,,0,Saint-Sigismond,Saint-Sigismond,Non,195,IPE T2 2022 (un IPE),195,0,0,0,1,ANFI,0
49332,52,49,Maine-et-Loire,200071678,CA du Choletais,"1,735",203,0,0,"1,116","1,357","1,183","1,363","1,446","1,532","1,662","1,716","1,730","1,911","1,986","2,068","2,133","2,242","2,273",Pays de la Loire,,"2,273",La Séguinière,La Séguinière,Oui,"2,489",IPE T2 2022 (un IPE),"2,489",0,,0,0,FRTE,"2,273"
49333,52,49,Maine-et-Loire,200068955,CC Anjou Loir et Sarthe,"1,369",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,405,Pays de la Loire,,666,Seiches-sur-le-Loir,Seiches-sur-le-Loir,Non,"1,739",IPE T2 2022 (un IPE),"1,739",0,0,0,0,ANFI,"1,070"
49352,52,49,Maine-et-Loire,200071678,CA du Choletais,544,17,0,0,0,0,0,0,0,0,0,0,314,369,384,416,442,448,634,Pays de la Loire,,636,Toutlemonde,Toutlemonde,Oui,639,IPE T2 2022 (un IPE),637,0,,0,1,ANFI-FRTE,636
49381,52,49,Maine-et-Loire,200071678,CA du Choletais,845,41,0,0,0,0,0,0,0,0,0,0,0,0,444,610,670,676,930,Pays de la Loire,,976,Yzernay,Yzernay,Oui,"1,119",IPE T2 2022 (un IPE),"1,119",0,0,0,1,ANFI,991
53028,52,53,Mayenne,200055887,CC Mayenne Communauté,251,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,Pays de la Loire,,147,Belgeard,Belgeard,Non,269,IPE T2 2022 (un IPE),269,0,0,0,1,MAYE,252
53045,52,53,Mayenne,245300306,CA Laval Agglomération,300,12,0,0,0,0,0,0,0,0,0,0,32,32,32,32,118,145,151,Pays de la Loire,,204,La Brûlatte,La Brûlatte,Non,352,IPE T2 2022 (un IPE),352,0,0,0,1,MAYE,265
53054,52,53,Mayenne,245300330,CA Laval Agglomération,"2,603",361,"2,628","2,631","2,631","2,773","2,631","2,828","3,046","3,064","3,136","3,289","3,312","3,406","3,440","3,440","3,465","3,495","3,517",Pays de la Loire,,"3,523",Changé,Changé,Oui,"3,880",IPE T2 2022 (un IPE),"3,879",0,0,0,0,LTHD-MAYE,"3,524"
53062,52,53,Mayenne,245300447,CC du Pays de Château-Gontier,"8,620",593,"1,824","2,426","2,815","4,277","3,022","4,709","5,462","6,268","7,053","7,631","8,196","8,521","8,801","9,092","9,159","9,300","9,551",Pays de la Loire,,"9,594",Château-Gontier-sur-Mayenne,Château-Gontier-sur-Mayenne,Oui,"10,738",IPE T2 2022 (un IPE),"10,712",0,,0,0,FRTE-MAYE,"9,623"
